kind,metric,rho,tau,wins,full,rule
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9593640250818494,0.888901204349704,54/54,17/18,extended_seconds_frac>=0.727
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9593323341403894,0.8883167213028257,54/54,16/18,mean_need>=0.393
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9592885584601697,0.8927723173991707,54/54,16/18,mean_need>=0.487
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9592885584601697,0.8927723173991707,54/54,16/18,tribe_pressure>=0.710
gate,high:vlm_best_dims_mean|low:all4_mean,0.9592830038908041,0.8866382112929952,53/54,15/18,mean_speech_density>=0.682
soft_gate,high:selected3_mean|low:vlm_best_dims_mean,0.9592830038908041,0.8866382112929952,54/54,17/18,weight=mean_need
soft_gate,high:all4_mean|low:claude_vlm_completeness_norm,0.9592830038908041,0.8866382112929952,54/54,17/18,weight=max_need
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9592487537904875,0.891976265241408,54/54,16/18,mean_speech_density>=0.874
soft_gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.959238265315958,0.8903277039816085,54/54,16/18,weight=mean_speech_density
gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9592144460327066,0.8899343628075705,54/54,17/18,extended_seconds_frac>=0.364
soft_gate,high:claude_vlm_specificity_norm|low:gpt_vlm_completeness_norm,0.9592144460327066,0.8899343628075705,53/54,16/18,weight=extended_seconds_frac
gate,high:all4_mean|low:claude_vlm_completeness_norm,0.959208954075353,0.8911823387242885,54/54,16/18,max_need>=0.771
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9592065066659256,0.8897378876174494,54/54,16/18,mean_speech_density>=1.000
soft_gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9591588778137577,0.8777316344868197,54/54,17/18,weight=extended_seconds_frac
soft_gate,high:vlm_best_dims_mean|low:selected3_mean,0.9590586385304849,0.8848930596403088,54/54,17/18,weight=tribe_pressure
single,vlm_best_dims_mean,0.9590214992301448,0.8876474718901852,54/54,16/18,
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9590214992301448,0.8876474718901852,54/54,16/18,high_need_seconds_frac>=0.373
gate,high:vlm_best_dims_mean|low:claude_vlm_listener_utility_norm,0.9590214992301448,0.8876474718901852,54/54,16/18,high_need_seconds_frac>=0.417
soft_gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9590214992301448,0.8876474718901852,54/54,16/18,weight=mean_need
soft_gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9590214992301448,0.8876474718901852,54/54,17/18,weight=high_need_seconds_frac
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9590087676533656,0.892492344485372,53/54,16/18,mean_need>=0.487
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9590087676533656,0.892492344485372,53/54,16/18,tribe_pressure>=0.710
gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9590064427186983,0.8908359392378885,53/54,17/18,extended_seconds_frac>=0.364
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9589689726118046,0.8920939992995013,54/54,17/18,mean_speech_density>=0.682
gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.9589053108483584,0.8907039799810121,53/54,16/18,max_need>=0.771
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9589053108483584,0.8907039799810121,54/54,16/18,high_need_seconds_frac>=0.373
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9589053108483584,0.8907039799810121,54/54,16/18,high_need_seconds_frac>=0.417
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9589053108483584,0.8907039799810121,54/54,16/18,tribe_pressure>=0.522
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9588973540193653,0.8905059357362114,54/54,16/18,mean_need>=0.487
gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.9588973540193653,0.8905059357362114,53/54,16/18,max_need>=0.838
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9588973540193653,0.8905059357362114,54/54,16/18,tribe_pressure>=0.710
soft_gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.9588953115470266,0.8890650874694823,53/54,16/18,weight=high_need_seconds_frac
soft_gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9588873750844636,0.8888689773783198,54/54,16/18,weight=mean_need
soft_gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9588383281343974,0.8782813063986675,54/54,18/18,weight=tribe_pressure
