clip_key,corpus,clip_idx,video_id,category,window_idx,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,mean_visual_gap,peak_visual_gap,dominant_type,dominance_margin,visual_minus_control,raw_trs,route
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,2,7.45,10.43,0.1252758800598422,0.05841882645276242,0.2302522400845627,0.1252758800598422,0.12751624896200886,scene_spatial,0.06685705360707977,-0.1049763600247205,2,static_ad_ok_low_gap
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,3,10.43,13.41,0.14383697783560156,0.08903322277767667,0.14752414488821997,0.14383697783560156,0.1513160241525211,scene_spatial,0.0548037550579249,-0.003687167052618401,2,static_ad_ok_low_gap
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,5.0,PbGvLf7HvXQ_000063_000073,Food & Cooking,4,13.41,16.39,0.08452657304852357,0.04393961536784091,0.14522785963537727,0.08452657304852357,0.12697526579641205,scene_spatial,0.040586957680682656,-0.0607012865868537,2,static_ad_ok_low_gap
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,6.0,0HEi6q3bGaw_000011_000021,Travel,0,0.0,3.2509090909090905,0.2476089452574094,0.13085594441849974,0.04942756355736727,0.2476089452574094,0.3581421093155853,scene_spatial,0.11675300083890966,0.19818138170004213,2,layout_replay_or_scene_cue
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,6.0,0HEi6q3bGaw_000011_000021,Travel,1,3.2509090909090905,6.501818181818181,0.1214772565901539,0.0427994190176299,0.1593715684230982,0.1214772565901539,0.14597308978170387,scene_spatial,0.078677837572524,-0.03789431183294428,2,static_ad_ok_low_gap
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,6.0,0HEi6q3bGaw_000011_000021,Travel,2,6.501818181818181,9.752727272727272,0.06945302232190464,0.025002821845251766,0.10975091062161857,0.06945302232190464,0.07222125623322928,scene_spatial,0.04445020047665288,-0.040297888299713924,2,static_ad_ok_low_gap
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,6.0,0HEi6q3bGaw_000011_000021,Travel,3,9.752727272727272,13.003636363636362,0.06555243822725948,0.025316436355473426,0.12662582402030576,0.06555243822725948,0.06713733183488768,scene_spatial,0.040236001871786053,-0.061073385793046275,2,static_ad_ok_low_gap
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,6.0,0HEi6q3bGaw_000011_000021,Travel,4,13.003636363636362,16.254545454545454,0.09605460013189993,0.02451756586105447,0.23779678725931613,0.09605460013189993,0.10507020277998669,scene_spatial,0.07153703427084546,-0.1417421871274162,2,static_ad_ok_low_gap
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,6.0,0HEi6q3bGaw_000011_000021,Travel,5,16.254545454545454,17.88,0.06813297972868282,0.8281975921840942,0.038238153139231734,0.8281975921840942,0.8281975921840942,agent_action,0.7600646124554113,0.7899594390448624,1,action_state_or_agent_cue
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,7.0,09dQut5GJ68_000049_000059,Travel,0,0.0,4.47,0.21413057610834585,0.033214597612291286,0.043056470331867436,0.21413057610834585,0.3231296438928972,scene_spatial,0.18091597849605456,0.1710741057764784,3,layout_replay_or_scene_cue
