video_id,clip_key,category,mean_visual_gap,max_visual_gap,top1_vs_uniform,dominant_clip_type,top_windows,adqa_fail,clip_fail,ensemble_fail,adqa_full_order,clip_full_order,ensemble_full_order
bgt29znHCzs_000343_000353,external_bgt29znHCzs_000343_000353,Sports,0.09893435754056168,0.2607039636667312,2.6351206006451933,agent_action,"9.0-10.0s agent_action (static_ad_ok_low_gap, peak=0.261); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.221); 6.0-9.0s agent_action (static_ad_ok_low_gap, peak=0.162)",0,1,0,1,0,1
Bss3WwpDdS8_000041_000051,external_Bss3WwpDdS8_000041_000051,People & Vlogs,0.1799310506735872,0.24062910494528467,1.337340631561196,scene_spatial,"0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.241); 6.4-9.1s scene_spatial (static_ad_ok_low_gap, peak=0.232); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.212)",0,0,0,1,1,1
N-LZPc27kjM_000229_000239,external_N-LZPc27kjM_000229_000239,How-to & Instructional,0.09256529634864843,0.2224456404409303,2.4031213555789392,scene_spatial,"0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.222); 3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.108); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.070)",0,0,0,1,1,1
j6CgiNeWQwM_000842_000852,external_j6CgiNeWQwM_000842_000852,Food & Cooking,0.1312230357136999,0.21439319497708154,1.6338076147303955,scene_spatial,"3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.214); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.190); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.149)",0,0,0,1,1,1
eb-ufaFcUas_000008_000018,external_eb-ufaFcUas_000008_000018,Entertainment,0.049808726416120594,0.19568934385978232,3.9288164532640506,scene_spatial,"0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.196); 6.4-9.1s scene_spatial (static_ad_ok_low_gap, peak=0.094); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.029)",0,0,0,1,1,1
Z5w-wkrjHuw_000345_000355,external_Z5w-wkrjHuw_000345_000355,Entertainment,0.08389665934255087,0.17610657414701836,2.099089231049993,scene_spatial,"9.1-10.0s agent_action (static_ad_ok_low_gap, peak=0.176); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.161); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.067)",0,1,0,1,0,1
rGQ64NXktF8_000006_000016,external_rGQ64NXktF8_000006_000016,People & Vlogs,0.09127928467589778,0.17519016065690773,1.9192762221893982,scene_spatial,"6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.175); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.153); 3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.090)",0,0,0,1,1,1
wbOD_G3ttgU_000083_000093,external_wbOD_G3ttgU_000083_000093,How-to & Instructional,0.06195286010795551,0.16275834985954518,2.62713213846676,scene_spatial,"0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.163); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.060); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.053)",0,0,0,1,1,1
h8wsO9A9v_c_000016_000026,external_h8wsO9A9v_c_000016_000026,People & Vlogs,0.05605401106280417,0.13834739421470932,2.4681087328380795,scene_spatial,"9.1-10.0s agent_action (static_ad_ok_low_gap, peak=0.138); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.112); 6.4-9.1s scene_spatial (static_ad_ok_low_gap, peak=0.076)",0,1,0,1,0,1
Xdz1cxEjLYc_000007_000017,external_Xdz1cxEjLYc_000007_000017,Food & Cooking,0.045408382179413634,0.13495272105603096,2.9719781806543457,scene_spatial,"9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.135); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.131); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.039)",0,0,0,1,1,1
ShSSAEfnyDs_000000_000010,external_ShSSAEfnyDs_000000_000010,Entertainment,0.08822300854684657,0.11807211717465615,1.3383370066320017,scene_spatial,"0.0-4.0s scene_spatial (static_ad_ok_low_gap, peak=0.118); 4.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.081); 6.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.070)",1,0,0,0,1,1
heWD9j45Emw_000225_000235,external_heWD9j45Emw_000225_000235,Music,0.05110901615036232,0.1001261679589639,1.9590705417688632,scene_spatial,"6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.100); 3.0-6.0s agent_action (static_ad_ok_low_gap, peak=0.072); 0.0-3.0s agent_action (static_ad_ok_low_gap, peak=0.067)",0,1,0,1,0,1
0t0DB1B1w8Y_000000_000010,external_0t0DB1B1w8Y_000000_000010,Sports,0.03272520589509773,0.05543514813754713,1.6939587275706451,scene_spatial,"6.7-10.0s agent_action (static_ad_ok_low_gap, peak=0.055); 3.3-6.7s scene_spatial (static_ad_ok_low_gap, peak=0.046); 0.0-3.3s scene_spatial (static_ad_ok_low_gap, peak=0.020)",0,0,0,1,1,1
